iter	Passed	Remaining
354	194976	3924254
355	195493	3923043
356	196060	3922853
357	196688	3923886
358	197277	3924115
359	197859	3924208
360	198420	3923885
361	198958	3923109
362	199447	3921367
363	199943	3919778
364	200580	3920943
365	201090	3919607
366	201564	3917594
367	202046	3915741
368	202597	3915245
369	203081	3913428
370	203636	3913012
371	204302	3914706
372	204794	3913054
373	205359	3912814
374	205837	3910911
375	206436	3911308
376	206956	3910208
377	207531	3910166
378	208133	3910607
379	208661	3909650
380	209207	3909058
381	209836	3909989
382	210377	3909285
383	210920	3908625
384	211452	3907758
385	211999	3907157
386	212539	3906439
387	213082	3905783
388	213580	3904294
389	214108	3903366
390	214748	3904472
391	215279	3903588
392	215801	3902542
393	216293	3900971
394	216798	3899632
395	217344	3899027
396	217886	3898351
397	218424	3897608
398	218989	3897351
399	219551	3897030
400	220144	3897279
401	220754	3897803
402	221282	3896883
403	221780	3895428
404	222269	3893832
405	222728	3891712
406	223354	3892520
407	223974	3893207
408	224453	3891450
409	225027	3891329
410	225545	3890244
411	226111	3890000
412	226662	3889476
413	227202	3888777
414	227708	3887500
415	228304	3887763
416	228918	3888315
417	229369	3886103
418	229905	3885339
419	230370	3883385
420	230942	3883240
421	231527	3883304
422	232111	3883342
423	232648	3882601
424	233172	3881641
425	233705	3880826
426	234271	3880575
427	234775	3879280
428	235391	3879850
429	235871	3878165
430	236322	3876014
431	236841	3874982
432	237370	3874129
433	237967	3874369
434	238502	3873613
435	238970	3871752
436	239485	3870679
437	240022	3869949
438	240549	3869066
439	241043	3867653
440	241595	3867165
441	242150	3866737
442	242739	3866846
443	243278	3866149
444	243903	3866824
445	244444	3866176
446	244942	3864824
447	245457	3863765
448	246048	3863890
449	246636	3863969
450	247161	3863067
451	247650	3861595
452	248168	3860581
453	248684	3859534
454	249312	3860235
455	249860	3859682
456	250335	3858008
457	250836	3856751
458	251391	3856309
459	251964	3856158
460	252466	3854903
461	252967	3853651
462	253509	3853017
463	254063	3852562
464	254587	3851667
465	255165	3851572
466	255724	3851198
467	256305	3851160
468	256993	3852713
469	257512	3851726
470	258037	3850834
471	258613	3850715
472	259110	3849406
473	259705	3849561
474	260263	3849158
475	260813	3848645
476	261354	3847987
477	261925	3847781
478	262419	3846446
479	262979	3846070
480	263514	3845335
481	264055	3844699
482	264548	3843351
483	265037	3841943
484	265578	3841309
485	266149	3841091
486	266707	3840692
487	267269	3840360
488	267795	3839492
489	268360	3839193
490	268884	3838318
491	269477	3838409
492	270041	3838094
493	270607	3837804
494	271228	3838301
495	271793	3837983
496	272298	3836835
497	272871	3836640
498	273397	3835778
499	273937	3835130
500	274494	3834706
501	275014	3833763
502	275527	3832733
503	276063	3832021
504	276648	3831997
505	277092	3830003
506	277602	3828944
507	278159	3828520
508	278690	3827757
509	279149	3825984
510	279687	3825317
511	280222	3824599
512	280775	3824129
513	281290	3823136
514	281825	3822425
515	282353	3821626
516	282880	3820799
517	283400	3819892
518	283962	3819543
519	284483	3818639
520	285137	3819528
521	285656	3818601
522	286188	3817858
523	286678	3816547
524	287305	3817054
525	287807	3815913
526	288408	3816077
527	288990	3815988
528	289514	3815136
529	289973	3813419
530	290542	3813171
531	291088	3812602
532	291567	3811168
533	292040	3809653
534	292531	3808376
535	293095	3808051
536	293612	3807114
537	294171	3806736
538	294748	3806581
539	295275	3805778
540	295812	3805093
541	296258	3803262
542	296734	3801805
543	297245	3800807
544	297721	3799368
545	298252	3798625
546	298915	3799559
547	299444	3798797
548	299980	3798107
549	300448	3796579
550	300897	3794803
551	301466	3794549
552	301947	3793186
553	302488	3792566
554	303061	3792362
555	303612	3791884
556	304167	3791444
557	304714	3790913
558	305222	3789892
559	305735	3788936
560	306255	3788069
561	306721	3786540
562	307269	3786016
563	307797	3785250
564	308322	3784451
565	308847	3783650
566	309441	3783697
567	309949	3782690
568	310416	3781188
569	310931	3780266
570	311394	3778720
571	311949	3778293
572	312589	3778898
573	313099	3777921
574	313674	3777733
575	314210	3777076
576	314796	3777016
577	315277	3775698
578	315755	3774338
579	316273	3773472
580	316848	3773281
581	317385	3772631
582	317882	3771519
583	318443	3771150
584	319019	3770970
585	319580	3770614
586	320205	3771005
587	320666	3769462
588	321183	3768585
589	321785	3768706
590	322282	3767598
591	322780	3766493
592	323336	3766075
593	323868	3765377
594	324434	3765076
595	324986	3764606
596	325563	3764435
597	326143	3764288
598	326826	3765327
599	327355	3764593
600	327914	3764198
601	328432	3763340
602	328939	3762350
603	329515	3762154
604	330016	3761095
605	330491	3759755
606	330993	3758709
607	331541	3758198
608	332085	3757634
609	332627	3757056
610	333154	3756307
611	333662	3755340
612	334215	3754885
613	334679	3753425
614	335154	3752099
615	335694	3751497
616	336233	3750884
617	336747	3749990
618	337292	3749452
619	337776	3748224
